updated_date,views,description,phone,email,website,reviews,related_categories,postal_code,fax_number
"Oct 20, 2017",3159,We are manufacturer of multi crop thresher and paddy thresher and we exporting it all over India in a very comfortable price,91-9587969826,Abhijitpandey555@gmail.com,,No review posted,Agricultural Equipment & Implements,,
"Dec 21, 2017",2526,"HANGZHOU DOWELL ULTRASONIC TECHNOLOGY CO.,LTD dowellsonic is the industry profession in the design, development, manufacture, and marketing of plastics joining, precision cleaning, ultrasonic processing, and ultrasonic metal welding equipment. We are committed to providing solutions to the needs of our customers, and providing the latest in technology, both in products and processes.",86-86-571-23289358,davidwang@dowellsonic.com,http://www.dowellsonic.com/,No review posted,Agricultural Equipment & Implements,,86-571-23289358
"Dec 27, 2017",2070,"Shanghai L&H International Co., Ltd. is an integrated international trade company reconstructed from several bearing plants, which mainly manufactures, sales and develops various bearings with high quality and competitive price. We have more than twenty years' experience in export; Our products have been exported to Germany, Italy, Brazil, Czech Republic,slovakia, Mexico, United Arab Emirates, India, Pakistan, South Korea, Indonesia, Thailand, Saudi Arabia, Iran, Iraq, Egypt and Jordan, etc. Our strong relationship with manufacturing plants in Jiangsu and Zhejiang so that we can integrate the domestic bearing resources,exploit the advantages of each plant and save export cost . to assure foreign customers can gain quality products and satisfactory services from us.",692-86-21-67186908,Sales@gdbr-bearing.com,http://www.gdbr-bearing.com,No review posted,Agricultural Equipment & Implements,,
"Apr 26, 2018",2269,"Bahuvida Group is an Indian multinational conglomerate company headquartered in Hyderabad, with diversified portfolio that includes Agro Commodities, FMCG, Metals & Minerals, Pharmaceuticals and Turnkey Projects sectors. The flagship company of the Bahuvida Group is Bahuvida Limited.","91-+919398671645, 91-9398671645",bahuvidalimited@gmail.com,,No review posted,Agricultural Equipment & Implements,500034,+91-40-23558850
"Apr 28, 2018",2487,"Huzhou Hengxin Label Manufacture Co.,Ltd. is located in Xindi Industrial Zone, Hefu Town,Huzhou City,Zhejiang Province.China, where is a famous ancient town of Changjiang delta in the economic and financial center of China and it is only 100 kilometers away from Shanghai.","86-86-572-3773115, 86-86-13666518088",info@hengxin-label.com,http://www.hengxin-label.com/,No review posted,Agricultural Equipment & Implements,,86-572-3771088
"Oct 01, 2022",3689,"We have all kinds of agriculture machine avaible like mini tiller, power tiller,threasher,reaper, rotavator,cultivator,ricetransplanter,,grass cutter,milking,mat, feed maker,silpolin etc","977-071549414, 977-9857033906",Butwalautomobile@gmail.com,,No review posted,Agricultural Equipment & Implements,,
"May 04, 2018",1416,"We have all kind of agriculture machine avaible like mini tiller, power tiller,rotavator,cultivator ricetransplanter,","977-à¥¦à¥­à¥§à¥«à¥ªà¥¯à¥ªà¥§à¥ª, 977-à¥¯à¥®à¥«à¥­à¥¦à¥©à¥©à¥¯à¥¦à¥¬",butwalautomobile@gmail.com,,No review posted,Agricultural Equipment & Implements,,
"May 09, 2018",1457,"Shengzhou Fusheng Machinery and Electrics Co, Ltd is located in Changle industrial zone Shengzhou City, which is at the joint of Yongjin and Shangshan express way and close G104,Hangzhou Xiaoshan Airport and Ningbo Lishe Airport.The company covers an area over 3500 square meters, with work staff about 120people, of which, there have about 10 professional engineers. With advantages in engineering and management, the company has developed motors in fields of washing machine, cooker hood, air cooler and so on.","691-86-13819556498, 691-86-13819556498",596675207@qq.com,http://www.washmotor.com,No review posted,Agricultural Equipment & Implements,,86-575-83785529
"May 11, 2018",1908,"Jiande wanstar Hardware Tools Co., Ltd. is a professional production of screwdriver, screwdriver rod processing production of various products such as professional manufacturing limited liability company, headquartered in Qiantan Xincheng village in Jiande City, the quality management system of Jiande wanstar hardware tools has a complete and scientific. Wanstar integrity, strength and quality of products recognized by the industry. Welcome friends from all walks of life to Jiande wanstar hardware tools, visit the guidance and business negotiation.",86-+86 0571 64172555,apptony168@yahoo.com,http://www.wanshidatools.com/,No review posted,Agricultural Equipment & Implements,,+86 0571 64113288
"May 25, 2018",1458,"Our company since long time has focused on the researching, developing and sales of differentiated chemical fibers with an annual producing capacity of 30,000 tons. Our products are dope dyed polyester multifilament yarns FDY 30D-1000D and DTY 50D-600D, and as well monofilament yarns 15D-60D. We are recognized and renowned for our hi-tech functional yarns, such as â€œdope dyed negative oxygen ion polyester yarnâ€, â€œdope dyed fine denier cooling polyester yarnâ€, â€œdope dyed fancy multi-color polyester yarnâ€ , "" dope dyed fire retardant polyester yarnâ€etc. Our products are widely applied in textile fabrics, embroidery, label, decoration, braid, jacquard, knitting, home textile, clothes, shoes, hat, carpet, curtain, scarf, bag, towel, gloves, socks, etc.","373-86-573-86950079, 373-86-573-86950079",info@jinxiagroup.com,http://www.jinxiafiber.com/,No review posted,Agricultural Equipment & Implements,,86-573-86618032
