URLs,subdirectory1,subdirectory2
https://www.tradingview.com/,,
https://www.tradingview.com/ideas/,ideas,
https://www.tradingview.com/scripts/,scripts,
https://www.tradingview.com/education/,education,
https://www.tradingview.com/chart/,chart,
https://www.tradingview.com/chat/history/,chat,history
https://www.tradingview.com/widget/,widget,
https://www.tradingview.com/brokerage-integration/,brokerage-integration,
https://www.tradingview.com/about/,about,
https://www.tradingview.com/features/,features,
https://www.tradingview.com/gopro/,gopro,
https://www.tradingview.com/house-rules/,house-rules,
https://www.tradingview.com/rest-api-spec/,rest-api-spec,
https://www.tradingview.com/HTML5-stock-forex-bitcoin-charting-library/,HTML5-stock-forex-bitcoin-charting-library,
https://www.tradingview.com/moderators/,moderators,
https://www.tradingview.com/policies/,policies,
https://www.tradingview.com/privacy-policy/,privacy-policy,
https://www.tradingview.com/partner-program/,partner-program,
https://www.tradingview.com/disclaimer/,disclaimer,
https://www.tradingview.com/pine-script-reference/,pine-script-reference,
https://www.tradingview.com/screener/,screener,
https://www.tradingview.com/forex-screener/,forex-screener,
https://www.tradingview.com/crypto-screener/,crypto-screener,
https://www.tradingview.com/crypto-coins-screener/,crypto-coins-screener,
https://www.tradingview.com/economic-calendar/,economic-calendar,
https://www.tradingview.com/advertising-info/,advertising-info,
https://www.tradingview.com/ideas/,ideas,
https://www.tradingview.com/widget/technical-analysis/,widget,technical-analysis
https://www.tradingview.com/widget/advanced-chart/,widget,advanced-chart
https://www.tradingview.com/support/,support,
https://www.tradingview.com/sparks/,sparks,
