URLs,subdirectory1,subdirectory2,subdirectory3
https://www.tradingview.com/markets/stocks-japan/market-movers-large-cap/,markets,stocks-japan,market-movers-large-cap
https://www.tradingview.com/markets/stocks-china/market-movers-gainers/,markets,stocks-china,market-movers-gainers
https://www.tradingview.com/markets/stocks-malaysia/market-movers-most-expensive/,markets,stocks-malaysia,market-movers-most-expensive
https://www.tradingview.com/markets/stocks-korea/market-movers-small-cap/,markets,stocks-korea,market-movers-small-cap
https://www.tradingview.com/markets/stocks-argentina/market-movers-unusual-volume/,markets,stocks-argentina,market-movers-unusual-volume
https://www.tradingview.com/markets/stocks-philippines/market-movers-large-cap/,markets,stocks-philippines,market-movers-large-cap
https://www.tradingview.com/markets/stocks-denmark/market-movers-high-dividend/,markets,stocks-denmark,market-movers-high-dividend
https://www.tradingview.com/markets/stocks-latvia/market-movers-active/,markets,stocks-latvia,market-movers-active
https://www.tradingview.com/markets/stocks-peru/market-movers-penny-stocks/,markets,stocks-peru,market-movers-penny-stocks
https://www.tradingview.com/markets/stocks-singapore/ideas/,markets,stocks-singapore,ideas
https://www.tradingview.com/markets/stocks-taiwan/market-movers-overbought/,markets,stocks-taiwan,market-movers-overbought
https://www.tradingview.com/markets/stocks-vietnam/market-movers-overbought/,markets,stocks-vietnam,market-movers-overbought
https://www.tradingview.com/markets/stocks-finland/market-movers-high-dividend/,markets,stocks-finland,market-movers-high-dividend
https://www.tradingview.com/markets/stocks-hungary/market-movers-most-volatile/,markets,stocks-hungary,market-movers-most-volatile
https://www.tradingview.com/markets/stocks-switzerland/market-movers-penny-stocks/,markets,stocks-switzerland,market-movers-penny-stocks
https://www.tradingview.com/markets/stocks-lithuania/market-movers-52wk-low/,markets,stocks-lithuania,market-movers-52wk-low
https://www.tradingview.com/markets/stocks-romania/market-movers-small-cap/,markets,stocks-romania,market-movers-small-cap
https://www.tradingview.com/markets/stocks-indonesia/market-movers-losers/,markets,stocks-indonesia,market-movers-losers
https://www.tradingview.com/markets/stocks-peru/market-movers-highest-profit-per-employee/,markets,stocks-peru,market-movers-highest-profit-per-employee
https://www.tradingview.com/markets/stocks-slovakia/market-movers-52wk-high/,markets,stocks-slovakia,market-movers-52wk-high
https://www.tradingview.com/markets/stocks-france/market-movers-overbought/,markets,stocks-france,market-movers-overbought
https://www.tradingview.com/markets/cryptocurrencies/prices-highest-transaction-volume/,markets,cryptocurrencies,prices-highest-transaction-volume
https://www.tradingview.com/markets/stocks-egypt/sectorandindustry-sector/,markets,stocks-egypt,sectorandindustry-sector
https://www.tradingview.com/markets/stocks-hong-kong/earnings/,markets,stocks-hong-kong,earnings
https://www.tradingview.com/markets/stocks-czech/market-movers-losers/,markets,stocks-czech,market-movers-losers
https://www.tradingview.com/markets/stocks-portugal/market-movers-52wk-low/,markets,stocks-portugal,market-movers-52wk-low
https://www.tradingview.com/markets/stocks-greece/market-movers-high-beta/,markets,stocks-greece,market-movers-high-beta
https://www.tradingview.com/markets/stocks-indonesia/market-movers-atl/,markets,stocks-indonesia,market-movers-atl
https://www.tradingview.com/markets/stocks-tunisia/sectorandindustry-industry/,markets,stocks-tunisia,sectorandindustry-industry
https://www.tradingview.com/markets/stocks-venezuela/market-movers-highest-revenue/,markets,stocks-venezuela,market-movers-highest-revenue
https://www.tradingview.com/markets/stocks-bahrain/market-movers-highest-profit-per-employee/,markets,stocks-bahrain,market-movers-highest-profit-per-employee
https://www.tradingview.com/markets/stocks-poland/sectorandindustry-industry/,markets,stocks-poland,sectorandindustry-industry
https://www.tradingview.com/markets/stocks-tunisia/market-movers-unusual-volume/,markets,stocks-tunisia,market-movers-unusual-volume
https://www.tradingview.com/markets/stocks-hong-kong/market-movers-ath/,markets,stocks-hong-kong,market-movers-ath
https://www.tradingview.com/markets/stocks-uae/news/,markets,stocks-uae,news
https://www.tradingview.com/markets/stocks-lithuania/market-movers-atl/,markets,stocks-lithuania,market-movers-atl
https://www.tradingview.com/markets/stocks-switzerland/market-movers-unusual-volume/,markets,stocks-switzerland,market-movers-unusual-volume
https://www.tradingview.com/markets/stocks-greece/market-movers-largest-employers/,markets,stocks-greece,market-movers-largest-employers
https://www.tradingview.com/markets/stocks-cyprus/market-movers-oversold/,markets,stocks-cyprus,market-movers-oversold
https://www.tradingview.com/markets/stocks-japan/market-movers-gainers/,markets,stocks-japan,market-movers-gainers
https://www.tradingview.com/markets/stocks-sri-lanka/market-movers-highest-profit-per-employee/,markets,stocks-sri-lanka,market-movers-highest-profit-per-employee
https://www.tradingview.com/markets/stocks-bangladesh/market-movers-high-dividend/,markets,stocks-bangladesh,market-movers-high-dividend
https://www.tradingview.com/markets/stocks-china/market-movers-losers/,markets,stocks-china,market-movers-losers
https://www.tradingview.com/markets/stocks-norway/earnings/,markets,stocks-norway,earnings
https://www.tradingview.com/markets/stocks-france/market-movers-all-stocks/,markets,stocks-france,market-movers-all-stocks
https://www.tradingview.com/markets/stocks-serbia/market-movers-losers/,markets,stocks-serbia,market-movers-losers
https://www.tradingview.com/markets/stocks-thailand/market-movers-highest-revenue/,markets,stocks-thailand,market-movers-highest-revenue
https://www.tradingview.com/markets/currencies/rates-minor/,markets,currencies,rates-minor
https://www.tradingview.com/markets/stocks-poland/market-movers-all-stocks/,markets,stocks-poland,market-movers-all-stocks
https://www.tradingview.com/markets/stocks-kuwait/market-movers-most-expensive/,markets,stocks-kuwait,market-movers-most-expensive
https://www.tradingview.com/markets/stocks-indonesia/,markets,stocks-indonesia,
https://www.tradingview.com/markets/stocks-turkey/market-movers-largest-employers/,markets,stocks-turkey,market-movers-largest-employers
https://www.tradingview.com/markets/stocks-latvia/market-movers-oversold/,markets,stocks-latvia,market-movers-oversold
https://www.tradingview.com/markets/stocks-poland/market-movers-overbought/,markets,stocks-poland,market-movers-overbought
https://www.tradingview.com/markets/stocks-china/market-movers-highest-revenue-per-employee/,markets,stocks-china,market-movers-highest-revenue-per-employee
https://www.tradingview.com/markets/stocks-romania/market-movers-unusual-volume/,markets,stocks-romania,market-movers-unusual-volume
https://www.tradingview.com/markets/stocks-canada/market-movers-most-expensive/,markets,stocks-canada,market-movers-most-expensive
https://www.tradingview.com/markets/stocks-germany/market-movers-unusual-volume/,markets,stocks-germany,market-movers-unusual-volume
https://www.tradingview.com/markets/stocks-japan/news/,markets,stocks-japan,news
https://www.tradingview.com/markets/stocks-usa/market-movers-pre-market-losers/,markets,stocks-usa,market-movers-pre-market-losers
https://www.tradingview.com/markets/stocks-iceland/market-movers-largest-employers/,markets,stocks-iceland,market-movers-largest-employers
https://www.tradingview.com/markets/stocks-hungary/market-movers-highest-profit-per-employee/,markets,stocks-hungary,market-movers-highest-profit-per-employee
https://www.tradingview.com/markets/stocks-israel/earnings/,markets,stocks-israel,earnings
https://www.tradingview.com/markets/bonds/prices-all/,markets,bonds,prices-all
https://www.tradingview.com/markets/stocks-united-kingdom/earnings/,markets,stocks-united-kingdom,earnings
https://www.tradingview.com/markets/world-stocks/worlds-largest-tech-companies/,markets,world-stocks,worlds-largest-tech-companies
https://www.tradingview.com/markets/stocks-india/market-movers-all-stocks/,markets,stocks-india,market-movers-all-stocks
https://www.tradingview.com/markets/stocks-nigeria/sectorandindustry-industry/,markets,stocks-nigeria,sectorandindustry-industry
https://www.tradingview.com/markets/stocks-peru/market-movers-overbought/,markets,stocks-peru,market-movers-overbought
https://www.tradingview.com/markets/stocks-estonia/market-movers-largest-employers/,markets,stocks-estonia,market-movers-largest-employers
https://www.tradingview.com/markets/stocks-taiwan/market-movers-most-expensive/,markets,stocks-taiwan,market-movers-most-expensive
https://www.tradingview.com/markets/stocks-usa/market-movers-52wk-low/,markets,stocks-usa,market-movers-52wk-low
https://www.tradingview.com/markets/stocks-china/market-movers-high-dividend/,markets,stocks-china,market-movers-high-dividend
https://www.tradingview.com/markets/stocks-nigeria/market-movers-gainers/,markets,stocks-nigeria,market-movers-gainers
https://www.tradingview.com/markets/currencies/rates-all/,markets,currencies,rates-all
https://www.tradingview.com/markets/stocks-romania/market-movers-highest-revenue/,markets,stocks-romania,market-movers-highest-revenue
https://www.tradingview.com/markets/cryptocurrencies/prices-highest-supply/,markets,cryptocurrencies,prices-highest-supply
https://www.tradingview.com/markets/stocks-indonesia/market-movers-highest-profit-per-employee/,markets,stocks-indonesia,market-movers-highest-profit-per-employee
https://www.tradingview.com/markets/stocks-hungary/market-movers-small-cap/,markets,stocks-hungary,market-movers-small-cap
https://www.tradingview.com/markets/stocks-kuwait/earnings/,markets,stocks-kuwait,earnings
https://www.tradingview.com/markets/stocks-finland/market-movers-atl/,markets,stocks-finland,market-movers-atl
https://www.tradingview.com/markets/stocks-italy/market-movers-highest-net-income/,markets,stocks-italy,market-movers-highest-net-income
https://www.tradingview.com/markets/stocks-mexico/market-movers-highest-revenue-per-employee/,markets,stocks-mexico,market-movers-highest-revenue-per-employee
https://www.tradingview.com/markets/stocks-poland/ideas/,markets,stocks-poland,ideas
https://www.tradingview.com/markets/stocks-nigeria/market-movers-highest-profit-per-employee/,markets,stocks-nigeria,market-movers-highest-profit-per-employee
https://www.tradingview.com/markets/stocks-russia/market-movers-losers/,markets,stocks-russia,market-movers-losers
https://www.tradingview.com/markets/futures/,markets,futures,
https://www.tradingview.com/markets/stocks-sweden/earnings/,markets,stocks-sweden,earnings
https://www.tradingview.com/markets/stocks-austria/market-movers-highest-revenue-per-employee/,markets,stocks-austria,market-movers-highest-revenue-per-employee
https://www.tradingview.com/markets/stocks-bangladesh/,markets,stocks-bangladesh,
https://www.tradingview.com/markets/stocks-singapore/market-movers-best-performing/,markets,stocks-singapore,market-movers-best-performing
