URLs,subdirectory1,subdirectory2,subdirectory3,subdirectory4
https://www.tradingview.com/chart/EURUSD/aX3kCqrE-10-more-things-I-learned-in-my-short-trading-career/,chart,EURUSD,aX3kCqrE-10-more-things-I-learned-in-my-short-trading-career,
https://www.tradingview.com/chart/BTCUSD/7GCqPZBy-Bitcoin-Long-Term-4-year-cycle-fractal/,chart,BTCUSD,7GCqPZBy-Bitcoin-Long-Term-4-year-cycle-fractal,
https://www.tradingview.com/chart/GME/EQu6xcC3-GME-is-bound-to-pop-A-technical-fundamental-trade/,chart,GME,EQu6xcC3-GME-is-bound-to-pop-A-technical-fundamental-trade,
https://www.tradingview.com/chart/GME/vElShFpa-Michael-Burry-The-Big-Short-squeeze-500/,chart,GME,vElShFpa-Michael-Burry-The-Big-Short-squeeze-500,
https://www.tradingview.com/chart/BTCUSD/Ra2xQeBx-The-fascinating-history-of-derivatives/,chart,BTCUSD,Ra2xQeBx-The-fascinating-history-of-derivatives,
https://www.tradingview.com/chart/COMFORT/gCgIU8IQ-Intraday-Glove-Stocks-using-Fast-Turtle-and-FiFT/,chart,COMFORT,gCgIU8IQ-Intraday-Glove-Stocks-using-Fast-Turtle-and-FiFT,
https://www.tradingview.com/chart/NFLX/UXGGgcSl-Netflix-Booming-Through-Lockdown/,chart,NFLX,UXGGgcSl-Netflix-Booming-Through-Lockdown,
https://www.tradingview.com/chart/ES1!/gqBi5SMb-Indecision-but-still-a-bullish-bias-on-the-US-Economy/,chart,ES1!,gqBi5SMb-Indecision-but-still-a-bullish-bias-on-the-US-Economy,
https://www.tradingview.com/chart/GC1!/wObVILQi-Waiting-for-the-breakout-on-GOLD-Futures-by-ThinkingAntsOk/,chart,GC1!,wObVILQi-Waiting-for-the-breakout-on-GOLD-Futures-by-ThinkingAntsOk,
https://www.tradingview.com/chart/GOLD/0kQS8mzh-Don-t-go-long-on-gold-yet-here-s-what-you-need-to-look-for/,chart,GOLD,0kQS8mzh-Don-t-go-long-on-gold-yet-here-s-what-you-need-to-look-for,
https://www.tradingview.com/chart/BTCUSD/mybueArD-BTC-FA-TA-Setups/,chart,BTCUSD,mybueArD-BTC-FA-TA-Setups,
