URLs,subdirectory1,subdirectory2,subdirectory3
https://www.tradingview.com/news/tradingview:4dea86950094b:0-gme-gamestop-shares-soar-20-as-traders-bet-on-blowout-3rd-quarter-earnings-data/,news,tradingview:4dea86950094b:0-gme-gamestop-shares-soar-20-as-traders-bet-on-blowout-3rd-quarter-earnings-data,
https://www.tradingview.com/news/tradingview:bc5b262a2094b:0-ixic-nasdaq-composite-falls-0-2-to-stall-november-rally-fed-s-inflation-gauge-imminent/,news,tradingview:bc5b262a2094b:0-ixic-nasdaq-composite-falls-0-2-to-stall-november-rally-fed-s-inflation-gauge-imminent,
https://www.tradingview.com/news/tradingview:1442ddaec094b:0-gbp-usd-sterling-crosses-1-27-in-fifth-day-of-gains-hits-double-top-with-august-high/,news,tradingview:1442ddaec094b:0-gbp-usd-sterling-crosses-1-27-in-fifth-day-of-gains-hits-double-top-with-august-high,
https://www.tradingview.com/news/tradingview:4854e8bd0094b:0-apple-s-budget-vision-pro-in-works/,news,tradingview:4854e8bd0094b:0-apple-s-budget-vision-pro-in-works,
https://www.tradingview.com/news/tradingview:7b4d74f00094b:0-costco-s-november-sales-and-e-commerce-surge/,news,tradingview:7b4d74f00094b:0-costco-s-november-sales-and-e-commerce-surge,
https://www.tradingview.com/news/tradingview:990819f4a094b:0-crowdstrike-q3-outperforms-price-target-up/,news,tradingview:990819f4a094b:0-crowdstrike-q3-outperforms-price-target-up,
https://www.tradingview.com/news/tradingview:5fd0e4cba094b:0-disney-ceo-iger-to-retire-in-2026/,news,tradingview:5fd0e4cba094b:0-disney-ceo-iger-to-retire-in-2026,
https://www.tradingview.com/news/tradingview:d2ae11510094b:0-exxonmobil-builds-new-uk-diesel-unit/,news,tradingview:d2ae11510094b:0-exxonmobil-builds-new-uk-diesel-unit,
https://www.tradingview.com/news/tradingview:23c30a92e094b:0-gamestop-stock-skyrockets-pre-earnings/,news,tradingview:23c30a92e094b:0-gamestop-stock-skyrockets-pre-earnings,
https://www.tradingview.com/news/tradingview:9af84974d094b:0-google-settles-with-canada-on-news-act/,news,tradingview:9af84974d094b:0-google-settles-with-canada-on-news-act,
https://www.tradingview.com/news/tradingview:a4d4d8650094b:0-google-canada-agree-on-news-act/,news,tradingview:a4d4d8650094b:0-google-canada-agree-on-news-act,
https://www.tradingview.com/news/tradingview:fe271c149094b:0-netflix-expands-game-catalog-with-gta/,news,tradingview:fe271c149094b:0-netflix-expands-game-catalog-with-gta,
https://www.tradingview.com/news/tradingview:9ce386b1e094b:0-salesforce-q3-up-11-raises-forecast/,news,tradingview:9ce386b1e094b:0-salesforce-q3-up-11-raises-forecast,
https://www.tradingview.com/news/tradingview:0e95a7f52094b:0-snowflake-q3-revenue-surges-31-8/,news,tradingview:0e95a7f52094b:0-snowflake-q3-revenue-surges-31-8,
https://www.tradingview.com/news/tradingview:1f6112ac6094b:0-dji-dow-jones-grinds-out-0-2-gain-as-hulking-november-rally-turns-sluggish/,news,tradingview:1f6112ac6094b:0-dji-dow-jones-grinds-out-0-2-gain-as-hulking-november-rally-turns-sluggish,
https://www.tradingview.com/news/tradingview:f9be854d4094b:0-eur-usd-euro-eclipses-1-10-to-hit-4-month-high-amid-broad-dollar-weakness/,news,tradingview:f9be854d4094b:0-eur-usd-euro-eclipses-1-10-to-hit-4-month-high-amid-broad-dollar-weakness,
https://www.tradingview.com/news/tradingview:a434d2c8d094b:0-brk-a-charlie-munger-buffett-s-partner-and-berkshire-s-co-architect-dies-at-99/,news,tradingview:a434d2c8d094b:0-brk-a-charlie-munger-buffett-s-partner-and-berkshire-s-co-architect-dies-at-99,
https://www.tradingview.com/news/tradingview:24c84e411094b:0-adobe-s-figma-acquisition-worries-uk/,news,tradingview:24c84e411094b:0-adobe-s-figma-acquisition-worries-uk,
https://www.tradingview.com/news/tradingview:3e523d3a9094b:0-amazon-s-billion-sales-in-11-days/,news,tradingview:3e523d3a9094b:0-amazon-s-billion-sales-in-11-days,
https://www.tradingview.com/news/tradingview:b5373acbb094b:0-american-airlines-buys-carbon-removal-credits/,news,tradingview:b5373acbb094b:0-american-airlines-buys-carbon-removal-credits,
https://www.tradingview.com/news/tradingview:f9959052e094b:0-block-inc-records-70m-transactions/,news,tradingview:f9959052e094b:0-block-inc-records-70m-transactions,
https://www.tradingview.com/news/tradingview:1fbf44e80094b:0-boa-fined-12m-for-false-data/,news,tradingview:1fbf44e80094b:0-boa-fined-12m-for-false-data,
https://www.tradingview.com/news/tradingview:324f94ebf094b:0-micron-ups-q1-2024-revenue-forecast/,news,tradingview:324f94ebf094b:0-micron-ups-q1-2024-revenue-forecast,
https://www.tradingview.com/news/tradingview:668a474a5094b:0-microsoft-s-0-75-quarterly-dividend/,news,tradingview:668a474a5094b:0-microsoft-s-0-75-quarterly-dividend,
https://www.tradingview.com/news/tradingview:6aa967ae6094b:0-rivian-starts-leasing-r1t-trucks/,news,tradingview:6aa967ae6094b:0-rivian-starts-leasing-r1t-trucks,
https://www.tradingview.com/news/tradingview:a45136fb1094b:0-shopify-stock-downgraded-by-piper-sandler/,news,tradingview:a45136fb1094b:0-shopify-stock-downgraded-by-piper-sandler,
https://www.tradingview.com/news/tradingview:36ee13f07094b:0-tesla-gears-up-for-cybertruck-launch/,news,tradingview:36ee13f07094b:0-tesla-gears-up-for-cybertruck-launch,
https://www.tradingview.com/chart/PLTR/APlp8oGv-PLTR-Has-Reached-Key-Upside-Levels-Tighten-Stops/,chart,PLTR,APlp8oGv-PLTR-Has-Reached-Key-Upside-Levels-Tighten-Stops
