URLs,subdirectory1,subdirectory2,subdirectory3
https://www.tradingview.com/symbols/SHNWMATIC_F6467B/,symbols,SHNWMATIC_F6467B,
https://www.tradingview.com/symbols/SHRMUSDC_3B8830/,symbols,SHRMUSDC_3B8830,
https://www.tradingview.com/symbols/SIGNWMATIC_B21482/,symbols,SIGNWMATIC_B21482,
https://www.tradingview.com/symbols/SIGNWMATIC_B21482.USD/,symbols,SIGNWMATIC_B21482.USD,
https://www.tradingview.com/symbols/SIMWMATIC_77F5FD/,symbols,SIMWMATIC_77F5FD,
https://www.tradingview.com/symbols/SIMWMATIC_77F5FD.USD/,symbols,SIMWMATIC_77F5FD.USD,
https://www.tradingview.com/symbols/SKRTUSDC_CFC4CB/,symbols,SKRTUSDC_CFC4CB,
https://www.tradingview.com/symbols/SMBRWMATIC_3178BD/,symbols,SMBRWMATIC_3178BD,
https://www.tradingview.com/symbols/SMTWMATIC_A38BEF/,symbols,SMTWMATIC_A38BEF,
https://www.tradingview.com/symbols/SNEUSDC_23BAF6/,symbols,SNEUSDC_23BAF6,
https://www.tradingview.com/symbols/SNEWMATIC_531269/,symbols,SNEWMATIC_531269,
https://www.tradingview.com/symbols/SNEWMATIC_531269.USD/,symbols,SNEWMATIC_531269.USD,
https://www.tradingview.com/symbols/SNGUSDT_35F8B4/,symbols,SNGUSDT_35F8B4,
https://www.tradingview.com/symbols/SNOWUSDC_6DB145/,symbols,SNOWUSDC_6DB145,
https://www.tradingview.com/symbols/SNPUSDC_A23EE8/,symbols,SNPUSDC_A23EE8,
https://www.tradingview.com/symbols/SOULSUSDT_25007F/,symbols,SOULSUSDT_25007F,
https://www.tradingview.com/symbols/SPACEWMATIC_D6AB3F/,symbols,SPACEWMATIC_D6AB3F,
https://www.tradingview.com/symbols/SPACEWMATIC_D6AB3F.USD/,symbols,SPACEWMATIC_D6AB3F.USD,
https://www.tradingview.com/symbols/SPEPEWMATIC_63E624/,symbols,SPEPEWMATIC_63E624,
https://www.tradingview.com/symbols/SPEPEWMATIC_63E624.USD/,symbols,SPEPEWMATIC_63E624.USD,
https://www.tradingview.com/symbols/SPINWMATIC_5A6861/,symbols,SPINWMATIC_5A6861,
https://www.tradingview.com/symbols/SPINWMATIC_5A6861.USD/,symbols,SPINWMATIC_5A6861.USD,
https://www.tradingview.com/symbols/SPORTGMEE_0A6707/,symbols,SPORTGMEE_0A6707,
https://www.tradingview.com/symbols/SPORTGMEE_0A6707.USD/,symbols,SPORTGMEE_0A6707.USD,
https://www.tradingview.com/symbols/SPORTREVV_5005A8/,symbols,SPORTREVV_5005A8,
https://www.tradingview.com/symbols/SPORTTOWER_F84EAB/,symbols,SPORTTOWER_F84EAB,
https://www.tradingview.com/symbols/SPORTWMATIC_46C753/,symbols,SPORTWMATIC_46C753,
https://www.tradingview.com/symbols/SPWMATIC_75E481/,symbols,SPWMATIC_75E481,
https://www.tradingview.com/symbols/SPWMATIC_75E481.USD/,symbols,SPWMATIC_75E481.USD,
https://www.tradingview.com/symbols/SQUADUSDC_B8F337/,symbols,SQUADUSDC_B8F337,
https://www.tradingview.com/symbols/SSGTXUSDT_997A59/,symbols,SSGTXUSDT_997A59,
https://www.tradingview.com/symbols/VOLTWMATIC_EBB29B/,symbols,VOLTWMATIC_EBB29B,
https://www.tradingview.com/symbols/STARWMATIC_7256EA/,symbols,STARWMATIC_7256EA,
https://www.tradingview.com/symbols/STMATICWMATIC_65752C.USD/,symbols,STMATICWMATIC_65752C.USD,
https://www.tradingview.com/symbols/STMWMATIC_1DA0AE/,symbols,STMWMATIC_1DA0AE,
https://www.tradingview.com/symbols/STNUSDT_2EE7B1/,symbols,STNUSDT_2EE7B1,
https://www.tradingview.com/symbols/STRATWMATIC_A2D08F/,symbols,STRATWMATIC_A2D08F,
https://www.tradingview.com/symbols/STRATWMATIC_A2D08F.USD/,symbols,STRATWMATIC_A2D08F.USD,
https://www.tradingview.com/symbols/STSSTS_AA49D5/,symbols,STSSTS_AA49D5,
https://www.tradingview.com/symbols/STSWMATIC_5FFC61/,symbols,STSWMATIC_5FFC61,
https://www.tradingview.com/symbols/STSWMATIC_5FFC61.USD/,symbols,STSWMATIC_5FFC61.USD,
https://www.tradingview.com/symbols/STZUSDC_AD308B/,symbols,STZUSDC_AD308B,
https://www.tradingview.com/symbols/SUREWETH_F9008F/,symbols,SUREWETH_F9008F,
https://www.tradingview.com/symbols/SUREWETH_F9008F.USD/,symbols,SUREWETH_F9008F.USD,
https://www.tradingview.com/symbols/SWAYUSDC_8CC823/,symbols,SWAYUSDC_8CC823,
https://www.tradingview.com/symbols/SWMWMATIC_644FF2/,symbols,SWMWMATIC_644FF2,
https://www.tradingview.com/symbols/SWMWMATIC_644FF2.USD/,symbols,SWMWMATIC_644FF2.USD,
https://www.tradingview.com/symbols/SWTUSDC_33579F/,symbols,SWTUSDC_33579F,
https://www.tradingview.com/symbols/SXWETH_3FF616/,symbols,SXWETH_3FF616,
https://www.tradingview.com/symbols/TCGCWETH_734E63/,symbols,TCGCWETH_734E63,
https://www.tradingview.com/symbols/TCGCWETH_734E63.USD/,symbols,TCGCWETH_734E63.USD,
https://www.tradingview.com/symbols/TCPUSDC_AD431D/,symbols,TCPUSDC_AD431D,
https://www.tradingview.com/symbols/TDAODAI_93EF40/,symbols,TDAODAI_93EF40,
https://www.tradingview.com/symbols/TDAODAI_93EF40.USD/,symbols,TDAODAI_93EF40.USD,
https://www.tradingview.com/symbols/TDOXWMATIC_156EBA/,symbols,TDOXWMATIC_156EBA,
https://www.tradingview.com/symbols/TDOXWMATIC_156EBA.USD/,symbols,TDOXWMATIC_156EBA.USD,
https://www.tradingview.com/symbols/TEADWETH_7896A4/,symbols,TEADWETH_7896A4,
https://www.tradingview.com/symbols/TEADWETH_7896A4.USD/,symbols,TEADWETH_7896A4.USD,
https://www.tradingview.com/symbols/TEADWMATIC_7EFFDD/,symbols,TEADWMATIC_7EFFDD,
https://www.tradingview.com/symbols/TECHUSDC_D72A06/,symbols,TECHUSDC_D72A06,
https://www.tradingview.com/symbols/TECHWETH_204A7A/,symbols,TECHWETH_204A7A,
https://www.tradingview.com/symbols/TECHWETH_204A7A.USD/,symbols,TECHWETH_204A7A.USD,
https://www.tradingview.com/symbols/TELEBTCWMATIC_4108CE/,symbols,TELEBTCWMATIC_4108CE,
https://www.tradingview.com/symbols/TELEBTCWMATIC_4108CE.USD/,symbols,TELEBTCWMATIC_4108CE.USD,
https://www.tradingview.com/symbols/TELQUICK_E88E24/,symbols,TELQUICK_E88E24,
https://www.tradingview.com/symbols/TELUSDC_A5CABF/,symbols,TELUSDC_A5CABF,
https://www.tradingview.com/symbols/TELWBTC_ADDC9C/,symbols,TELWBTC_ADDC9C,
https://www.tradingview.com/symbols/TIMEWETH_86FD28/,symbols,TIMEWETH_86FD28,
https://www.tradingview.com/symbols/TIMEWETH_86FD28.USD/,symbols,TIMEWETH_86FD28.USD,
https://www.tradingview.com/symbols/TITANWETH_A28ADE/,symbols,TITANWETH_A28ADE,
https://www.tradingview.com/symbols/TNDRUSDT_4C23EB/,symbols,TNDRUSDT_4C23EB,
https://www.tradingview.com/symbols/TOP50KOM_DD4531/,symbols,TOP50KOM_DD4531,
https://www.tradingview.com/symbols/TOP50KOM_DD4531.USD/,symbols,TOP50KOM_DD4531.USD,
https://www.tradingview.com/symbols/TORAUSDC_A9A98A/,symbols,TORAUSDC_A9A98A,
https://www.tradingview.com/symbols/TOTEMWETH_944602.USD/,symbols,TOTEMWETH_944602.USD,
https://www.tradingview.com/symbols/TOWERASTRAFER_516F2B/,symbols,TOWERASTRAFER_516F2B,
https://www.tradingview.com/symbols/TOWERWMATIC_C74E7A/,symbols,TOWERWMATIC_C74E7A,
https://www.tradingview.com/symbols/TOYOUSDC_9023A4/,symbols,TOYOUSDC_9023A4,
https://www.tradingview.com/symbols/TRADEWMATIC_41744F/,symbols,TRADEWMATIC_41744F,
https://www.tradingview.com/symbols/TRADEWMATIC_41744F.USD/,symbols,TRADEWMATIC_41744F.USD,
https://www.tradingview.com/symbols/TRIXXWMATIC_489950/,symbols,TRIXXWMATIC_489950,
https://www.tradingview.com/symbols/TRIXXWMATIC_489950.USD/,symbols,TRIXXWMATIC_489950.USD,
https://www.tradingview.com/symbols/TRYWMATIC_DC2D6F/,symbols,TRYWMATIC_DC2D6F,
