URLs,subdirectory1,subdirectory2
https://www.tradingview.com/ideas/5-0pattern/,ideas,5-0pattern
https://www.tradingview.com/ideas/abcdpattern/,ideas,abcdpattern
https://www.tradingview.com/ideas/accumulationdistribution/,ideas,accumulationdistribution
https://www.tradingview.com/ideas/alligator/,ideas,alligator
https://www.tradingview.com/ideas/ascendingbroadeningwedge/,ideas,ascendingbroadeningwedge
https://www.tradingview.com/ideas/ascendingchannel/,ideas,ascendingchannel
https://www.tradingview.com/ideas/ascendingtriangle/,ideas,ascendingtriangle
https://www.tradingview.com/ideas/averagedirectionalindex/,ideas,averagedirectionalindex
https://www.tradingview.com/ideas/averagetruerange/,ideas,averagetruerange
https://www.tradingview.com/ideas/awesomeoscillator/,ideas,awesomeoscillator
https://www.tradingview.com/ideas/balanceofpower/,ideas,balanceofpower
https://www.tradingview.com/ideas/batpattern/,ideas,batpattern
https://www.tradingview.com/ideas/bearish/,ideas,bearish
https://www.tradingview.com/ideas/bearishbat/,ideas,bearishbat
https://www.tradingview.com/ideas/bearishbutterfly/,ideas,bearishbutterfly
https://www.tradingview.com/ideas/bearishengulfing/,ideas,bearishengulfing
https://www.tradingview.com/ideas/bearishflag/,ideas,bearishflag
https://www.tradingview.com/ideas/bearishgartley/,ideas,bearishgartley
https://www.tradingview.com/ideas/bearishpennant/,ideas,bearishpennant
https://www.tradingview.com/ideas/bearishpinbar/,ideas,bearishpinbar
https://www.tradingview.com/ideas/bearishshark/,ideas,bearishshark
https://www.tradingview.com/ideas/bearishtrendline/,ideas,bearishtrendline
https://www.tradingview.com/ideas/billwilliams/,ideas,billwilliams
https://www.tradingview.com/ideas/bollingerbands/,ideas,bollingerbands
https://www.tradingview.com/ideas/breadthstudies/,ideas,breadthstudies
https://www.tradingview.com/ideas/broadeningwedge/,ideas,broadeningwedge
https://www.tradingview.com/ideas/bullish/,ideas,bullish
https://www.tradingview.com/ideas/bullishabcd/,ideas,bullishabcd
https://www.tradingview.com/ideas/bullishbat/,ideas,bullishbat
https://www.tradingview.com/ideas/bullishbutterfly/,ideas,bullishbutterfly
https://www.tradingview.com/ideas/bullishcypher/,ideas,bullishcypher
https://www.tradingview.com/ideas/bullishdivergence/,ideas,bullishdivergence
https://www.tradingview.com/ideas/bullishengulfing/,ideas,bullishengulfing
https://www.tradingview.com/ideas/bullishflag/,ideas,bullishflag
https://www.tradingview.com/ideas/bullishgartley/,ideas,bullishgartley
https://www.tradingview.com/ideas/bullishpennant/,ideas,bullishpennant
https://www.tradingview.com/ideas/bullishpinbar/,ideas,bullishpinbar
https://www.tradingview.com/ideas/bullishshark/,ideas,bullishshark
https://www.tradingview.com/ideas/bullishtrendline/,ideas,bullishtrendline
https://www.tradingview.com/ideas/butterflypattern/,ideas,butterflypattern
https://www.tradingview.com/ideas/camarilla/,ideas,camarilla
https://www.tradingview.com/ideas/candlestick/,ideas,candlestick
https://www.tradingview.com/ideas/chaikinmoneyflow/,ideas,chaikinmoneyflow
https://www.tradingview.com/ideas/chartpattern/,ideas,chartpattern
https://www.tradingview.com/ideas/choppinessindex/,ideas,choppinessindex
https://www.tradingview.com/ideas/commitmentoftraders/,ideas,commitmentoftraders
https://www.tradingview.com/ideas/commoditychannelindex/,ideas,commoditychannelindex
https://www.tradingview.com/ideas/correlationcoefficient/,ideas,correlationcoefficient
https://www.tradingview.com/ideas/crabpattern/,ideas,crabpattern
https://www.tradingview.com/ideas/cupandhandle/,ideas,cupandhandle
https://www.tradingview.com/ideas/cypherpattern/,ideas,cypherpattern
https://www.tradingview.com/ideas/deepcrab/,ideas,deepcrab
https://www.tradingview.com/ideas/dema/,ideas,dema
https://www.tradingview.com/ideas/demandzone/,ideas,demandzone
https://www.tradingview.com/ideas/descendingbroadeningwedge/,ideas,descendingbroadeningwedge
https://www.tradingview.com/ideas/descendingchannel/,ideas,descendingchannel
https://www.tradingview.com/ideas/descendingtriangle/,ideas,descendingtriangle
https://www.tradingview.com/ideas/directionalmovement/,ideas,directionalmovement
https://www.tradingview.com/ideas/dm_indicator/,ideas,dm_indicator
https://www.tradingview.com/ideas/doji/,ideas,doji
https://www.tradingview.com/ideas/donchianchannels/,ideas,donchianchannels
https://www.tradingview.com/ideas/doublebottom/,ideas,doublebottom
https://www.tradingview.com/ideas/doubletop/,ideas,doubletop
https://www.tradingview.com/ideas/economiccycle/,ideas,economiccycle
https://www.tradingview.com/ideas/elliottwaves/,ideas,elliottwaves
https://www.tradingview.com/ideas/ema/,ideas,ema
https://www.tradingview.com/ideas/endingdiagonal/,ideas,endingdiagonal
https://www.tradingview.com/ideas/engulfingcandle/,ideas,engulfingcandle
https://www.tradingview.com/ideas/envelope/,ideas,envelope
https://www.tradingview.com/ideas/etf/,ideas,etf
https://www.tradingview.com/ideas/eveningstar/,ideas,eveningstar
https://www.tradingview.com/ideas/fallingwedge/,ideas,fallingwedge
https://www.tradingview.com/ideas/fibonacci/,ideas,fibonacci
https://www.tradingview.com/ideas/fibonacciconfluence/,ideas,fibonacciconfluence
https://www.tradingview.com/ideas/fibonacciexpansion/,ideas,fibonacciexpansion
https://www.tradingview.com/ideas/fibonacciextension/,ideas,fibonacciextension
https://www.tradingview.com/ideas/fibonacciprojection/,ideas,fibonacciprojection
https://www.tradingview.com/ideas/fibonacciretracement/,ideas,fibonacciretracement
https://www.tradingview.com/ideas/fishertransform/,ideas,fishertransform
https://www.tradingview.com/ideas/flagpattern/,ideas,flagpattern
https://www.tradingview.com/ideas/fractal/,ideas,fractal
https://www.tradingview.com/ideas/fred/,ideas,fred
https://www.tradingview.com/ideas/fundamental/,ideas,fundamental
https://www.tradingview.com/ideas/gamma/,ideas,gamma
https://www.tradingview.com/ideas/gann/,ideas,gann
https://www.tradingview.com/ideas/gannbox/,ideas,gannbox
https://www.tradingview.com/ideas/gannfan/,ideas,gannfan
https://www.tradingview.com/ideas/gannsquare/,ideas,gannsquare
https://www.tradingview.com/ideas/gartleypattern/,ideas,gartleypattern
https://www.tradingview.com/ideas/hammer/,ideas,hammer
https://www.tradingview.com/ideas/hangingman/,ideas,hangingman
https://www.tradingview.com/ideas/harmonicpatterns/,ideas,harmonicpatterns
https://www.tradingview.com/ideas/headandshoulders/,ideas,headandshoulders
https://www.tradingview.com/ideas/historicalvolatility/,ideas,historicalvolatility
https://www.tradingview.com/ideas/hullma/,ideas,hullma
https://www.tradingview.com/ideas/ichimokuclouds/,ideas,ichimokuclouds
https://www.tradingview.com/ideas/indicator/,ideas,indicator
https://www.tradingview.com/ideas/insidebar/,ideas,insidebar
https://www.tradingview.com/ideas/inverseheadandshoulders/,ideas,inverseheadandshoulders
https://www.tradingview.com/ideas/invertedcupandhandle/,ideas,invertedcupandhandle
https://www.tradingview.com/ideas/invertedhammer/,ideas,invertedhammer
https://www.tradingview.com/ideas/investing/,ideas,investing
https://www.tradingview.com/ideas/keltnerchannels/,ideas,keltnerchannels
https://www.tradingview.com/ideas/leadingdiagonal/,ideas,leadingdiagonal
https://www.tradingview.com/ideas/linearregression/,ideas,linearregression
https://www.tradingview.com/ideas/logarithmic/,ideas,logarithmic
https://www.tradingview.com/ideas/lsma/,ideas,lsma
https://www.tradingview.com/ideas/macd/,ideas,macd
https://www.tradingview.com/ideas/marubozu/,ideas,marubozu
https://www.tradingview.com/ideas/momentum/,ideas,momentum
https://www.tradingview.com/ideas/moneyflow/,ideas,moneyflow
https://www.tradingview.com/ideas/moonphases/,ideas,moonphases
https://www.tradingview.com/ideas/morningstar/,ideas,morningstar
https://www.tradingview.com/ideas/movingaverage/,ideas,movingaverage
https://www.tradingview.com/ideas/m-pattern/,ideas,m-pattern
https://www.tradingview.com/ideas/mtfa/,ideas,mtfa
https://www.tradingview.com/ideas/onbalancevolume/,ideas,onbalancevolume
https://www.tradingview.com/ideas/parabolicsar/,ideas,parabolicsar
https://www.tradingview.com/ideas/parallelchannel/,ideas,parallelchannel
https://www.tradingview.com/ideas/pennant/,ideas,pennant
https://www.tradingview.com/ideas/pinbar/,ideas,pinbar
https://www.tradingview.com/ideas/pitchfork/,ideas,pitchfork
https://www.tradingview.com/ideas/pivotpoints/,ideas,pivotpoints
https://www.tradingview.com/ideas/price-earnings-ratio/,ideas,price-earnings-ratio
https://www.tradingview.com/ideas/rateofchange/,ideas,rateofchange
https://www.tradingview.com/ideas/rectangle/,ideas,rectangle
https://www.tradingview.com/ideas/relativestrengthindex/,ideas,relativestrengthindex
https://www.tradingview.com/ideas/risingwedge/,ideas,risingwedge
https://www.tradingview.com/ideas/seasonality/,ideas,seasonality
https://www.tradingview.com/ideas/sharkpattern/,ideas,sharkpattern
https://www.tradingview.com/ideas/shootingstar/,ideas,shootingstar
https://www.tradingview.com/ideas/simplemovingaverage/,ideas,simplemovingaverage
https://www.tradingview.com/ideas/sinewave/,ideas,sinewave
https://www.tradingview.com/ideas/spinningtop/,ideas,spinningtop
https://www.tradingview.com/ideas/stochastic/,ideas,stochastic
https://www.tradingview.com/ideas/stochasticrsi/,ideas,stochasticrsi
https://www.tradingview.com/ideas/supplyanddemand/,ideas,supplyanddemand
https://www.tradingview.com/ideas/supplyzone/,ideas,supplyzone
https://www.tradingview.com/ideas/supportandresistance/,ideas,supportandresistance
https://www.tradingview.com/ideas/symmetricaltriangle/,ideas,symmetricaltriangle
https://www.tradingview.com/ideas/technicalanalysis/,ideas,technicalanalysis
https://www.tradingview.com/ideas/threedrivespattern/,ideas,threedrivespattern
https://www.tradingview.com/ideas/threewhitesoldiers/,ideas,threewhitesoldiers
https://www.tradingview.com/ideas/tradingpsychology/,ideas,tradingpsychology
https://www.tradingview.com/ideas/trendanalysis/,ideas,trendanalysis
https://www.tradingview.com/ideas/trendline/,ideas,trendline
https://www.tradingview.com/ideas/trendlinebreak/,ideas,trendlinebreak
https://www.tradingview.com/ideas/triangle/,ideas,triangle
https://www.tradingview.com/ideas/tweezertops/,ideas,tweezertops
https://www.tradingview.com/ideas/volatility/,ideas,volatility
https://www.tradingview.com/ideas/volume/,ideas,volume
https://www.tradingview.com/ideas/volumeprofile/,ideas,volumeprofile
https://www.tradingview.com/ideas/vortex/,ideas,vortex
https://www.tradingview.com/ideas/vwap/,ideas,vwap
https://www.tradingview.com/ideas/vwma/,ideas,vwma
https://www.tradingview.com/ideas/waveanalysis/,ideas,waveanalysis
https://www.tradingview.com/ideas/wedgepattern/,ideas,wedgepattern
https://www.tradingview.com/ideas/wma/,ideas,wma
https://www.tradingview.com/ideas/wolfewaves/,ideas,wolfewaves
https://www.tradingview.com/ideas/w-pattern/,ideas,w-pattern
https://www.tradingview.com/ideas/wycoff/,ideas,wycoff
https://www.tradingview.com/ideas/zigzag/,ideas,zigzag
https://www.tradingview.com/ideas/zigzagindicator/,ideas,zigzagindicator
