URLs,subdirectory1,subdirectory2,subdirectory3
https://www.tradingview.com/symbols/NASDAQ-CASA/history-timeline/,symbols,NASDAQ-CASA,history-timeline
https://www.tradingview.com/symbols/NASDAQ-PTON/history-timeline/,symbols,NASDAQ-PTON,history-timeline
https://www.tradingview.com/symbols/NYSE-GIS/history-timeline/,symbols,NYSE-GIS,history-timeline
https://www.tradingview.com/symbols/NASDAQ-DDOG/history-timeline/,symbols,NASDAQ-DDOG,history-timeline
https://www.tradingview.com/symbols/NASDAQ-AEMD/history-timeline/,symbols,NASDAQ-AEMD,history-timeline
https://www.tradingview.com/symbols/NASDAQ-ROKU/history-timeline/,symbols,NASDAQ-ROKU,history-timeline
https://www.tradingview.com/symbols/NYSE-GM/history-timeline/,symbols,NYSE-GM,history-timeline
https://www.tradingview.com/symbols/MKRUSD/history-timeline/,symbols,MKRUSD,history-timeline
https://www.tradingview.com/symbols/NASDAQ-GRPN/history-timeline/,symbols,NASDAQ-GRPN,history-timeline
https://www.tradingview.com/symbols/NYSE-SNAP/history-timeline/,symbols,NYSE-SNAP,history-timeline
https://www.tradingview.com/symbols/VGXUSD/history-timeline/,symbols,VGXUSD,history-timeline
https://www.tradingview.com/symbols/NASDAQ-NVDA/history-timeline/,symbols,NASDAQ-NVDA,history-timeline
https://www.tradingview.com/symbols/NASDAQ-GOGO/history-timeline/,symbols,NASDAQ-GOGO,history-timeline
https://www.tradingview.com/symbols/NASDAQ-LEE/history-timeline/,symbols,NASDAQ-LEE,history-timeline
https://www.tradingview.com/symbols/NYSE-DPZ/history-timeline/,symbols,NYSE-DPZ,history-timeline
https://www.tradingview.com/symbols/SUSHIUSD/history-timeline/,symbols,SUSHIUSD,history-timeline
https://www.tradingview.com/symbols/TVC-UKX/history-timeline/,symbols,TVC-UKX,history-timeline
https://www.tradingview.com/symbols/NYSE-EQT/history-timeline/,symbols,NYSE-EQT,history-timeline
https://www.tradingview.com/symbols/NASDAQ-CVAC/history-timeline/,symbols,NASDAQ-CVAC,history-timeline
https://www.tradingview.com/symbols/HTUSD/history-timeline/,symbols,HTUSD,history-timeline
https://www.tradingview.com/symbols/HSI-HSCEI/history-timeline/,symbols,HSI-HSCEI,history-timeline
https://www.tradingview.com/symbols/NASDAQ-AAL/history-timeline/,symbols,NASDAQ-AAL,history-timeline
https://www.tradingview.com/symbols/LRCUSD/history-timeline/,symbols,LRCUSD,history-timeline
https://www.tradingview.com/symbols/NYSE-FIGS/history-timeline/,symbols,NYSE-FIGS,history-timeline
https://www.tradingview.com/symbols/NYSE-T/history-timeline/,symbols,NYSE-T,history-timeline
https://www.tradingview.com/symbols/NASDAQ-RCAT/history-timeline/,symbols,NASDAQ-RCAT,history-timeline
https://www.tradingview.com/symbols/NASDAQ-SWBI/history-timeline/,symbols,NASDAQ-SWBI,history-timeline
https://www.tradingview.com/symbols/FILUSD/history-timeline/,symbols,FILUSD,history-timeline
https://www.tradingview.com/symbols/CROUSD/history-timeline/,symbols,CROUSD,history-timeline
https://www.tradingview.com/symbols/NASDAQ-SLDP/history-timeline/,symbols,NASDAQ-SLDP,history-timeline
https://www.tradingview.com/symbols/NYSE-AI/history-timeline/,symbols,NYSE-AI,history-timeline
https://www.tradingview.com/symbols/NASDAQ-AEHR/history-timeline/,symbols,NASDAQ-AEHR,history-timeline
https://www.tradingview.com/symbols/USDCUSD/history-timeline/,symbols,USDCUSD,history-timeline
https://www.tradingview.com/symbols/NASDAQ-DTSS/history-timeline/,symbols,NASDAQ-DTSS,history-timeline
https://www.tradingview.com/symbols/NASDAQ-TPG/history-timeline/,symbols,NASDAQ-TPG,history-timeline
https://www.tradingview.com/symbols/COMEX-COB1!/history-timeline/,symbols,COMEX-COB1!,history-timeline
https://www.tradingview.com/symbols/HKEX-1611/history-timeline/,symbols,HKEX-1611,history-timeline
https://www.tradingview.com/symbols/NASDAQ-MVST/history-timeline/,symbols,NASDAQ-MVST,history-timeline
https://www.tradingview.com/symbols/CBOT-ZW1!/history-timeline/,symbols,CBOT-ZW1!,history-timeline
https://www.tradingview.com/symbols/NYSE-DOCS/history-timeline/,symbols,NYSE-DOCS,history-timeline
https://www.tradingview.com/symbols/WAVESUSD/history-timeline/,symbols,WAVESUSD,history-timeline
https://www.tradingview.com/symbols/NASDAQ-DMAC/history-timeline/,symbols,NASDAQ-DMAC,history-timeline
https://www.tradingview.com/symbols/LTCUSD/history-timeline/,symbols,LTCUSD,history-timeline
https://www.tradingview.com/symbols/EURONEXT-VIV/history-timeline/,symbols,EURONEXT-VIV,history-timeline
https://www.tradingview.com/symbols/TSE-9984/history-timeline/,symbols,TSE-9984,history-timeline
https://www.tradingview.com/symbols/NASDAQ-EVBG/history-timeline/,symbols,NASDAQ-EVBG,history-timeline
https://www.tradingview.com/symbols/NASDAQ-ASML/history-timeline/,symbols,NASDAQ-ASML,history-timeline
https://www.tradingview.com/symbols/RUNEUSD/history-timeline/,symbols,RUNEUSD,history-timeline
https://www.tradingview.com/symbols/XETR-P911/history-timeline/,symbols,XETR-P911,history-timeline
https://www.tradingview.com/symbols/FLOWUSD/history-timeline/,symbols,FLOWUSD,history-timeline
https://www.tradingview.com/symbols/NYSE-KR/history-timeline/,symbols,NYSE-KR,history-timeline
https://www.tradingview.com/symbols/NASDAQ-CLOV/history-timeline/,symbols,NASDAQ-CLOV,history-timeline
https://www.tradingview.com/symbols/OTC-DROOF/history-timeline/,symbols,OTC-DROOF,history-timeline
https://www.tradingview.com/symbols/ONEUSD/history-timeline/,symbols,ONEUSD,history-timeline
https://www.tradingview.com/symbols/NASDAQ-VMEO/history-timeline/,symbols,NASDAQ-VMEO,history-timeline
https://www.tradingview.com/symbols/NYSE-CVX/history-timeline/,symbols,NYSE-CVX,history-timeline
https://www.tradingview.com/symbols/NASDAQ-MRIN/history-timeline/,symbols,NASDAQ-MRIN,history-timeline
https://www.tradingview.com/symbols/NYSE-SCHW/history-timeline/,symbols,NYSE-SCHW,history-timeline
https://www.tradingview.com/symbols/NASDAQ-WBA/history-timeline/,symbols,NASDAQ-WBA,history-timeline
https://www.tradingview.com/symbols/NASDAQ-TTWO/history-timeline/,symbols,NASDAQ-TTWO,history-timeline
https://www.tradingview.com/symbols/AMEX-MSOS/history-timeline/,symbols,AMEX-MSOS,history-timeline
https://www.tradingview.com/symbols/NASDAQ-MQ/history-timeline/,symbols,NASDAQ-MQ,history-timeline
https://www.tradingview.com/symbols/NYSE-AMC/history-timeline/,symbols,NYSE-AMC,history-timeline
https://www.tradingview.com/symbols/NYSE-BAC/history-timeline/,symbols,NYSE-BAC,history-timeline
https://www.tradingview.com/symbols/NYSE-UA/history-timeline/,symbols,NYSE-UA,history-timeline
https://www.tradingview.com/symbols/YFIUSD/history-timeline/,symbols,YFIUSD,history-timeline
