Open,High,Low,Close,Volume
152.98,153.08,152.98,153.08,63
152.98,152.98,152.98,152.98,3
153.0,153.03,152.75,152.88,20
152.97,152.97,152.97,152.97,2
153.09,153.09,153.09,153.09,5
152.73,152.73,152.73,152.73,1
152.89,152.89,152.89,152.89,1190606
152.73,152.73,152.73,152.73,9
152.73,152.73,152.73,152.73,2
152.73,152.73,152.73,152.73,23
152.89,152.89,152.73,152.73,1190608
152.73,152.73,152.73,152.73,25
153.08,153.08,153.08,153.08,1
152.73,152.73,152.73,152.73,3
152.73,152.73,152.73,152.73,14
152.73,153.07,152.73,152.73,46
152.73,152.73,152.73,152.73,18
152.73,153.0,152.73,152.73,14
152.73,152.73,152.73,152.73,27
152.73,152.73,152.73,152.73,18
152.73,152.73,152.73,152.73,7
152.73,152.73,152.73,152.73,1
153.08,153.08,153.08,153.08,5
153.08,153.08,152.89,153.08,7
152.88,152.88,152.88,152.88,5
153.0,153.0,153.0,153.0,1
152.73,152.73,152.73,152.73,7
153.0,153.0,152.73,152.73,2
152.73,153.08,152.73,153.08,9
152.88,152.88,152.73,152.73,27
152.91,152.91,152.88,152.88,128
152.73,152.73,152.73,152.73,26
153.01,153.01,152.73,152.73,83
153.01,153.09,152.73,152.73,103
152.89,152.89,152.73,152.73,3251
152.89,153.089,152.89,153.089,1383
152.89,152.92,152.89,152.92,1217334
153.09,153.09,152.89,152.89,1529
152.9,152.93,152.89,152.93,2520261
153.045,153.14,152.89,152.91,324200
153.02,153.08,152.94,153.05,107891
153.03,153.09,153.0,153.04,63038
153.0,153.065,152.96,153.04,50747
153.05,153.1,152.96,153.01,47922
153.22,153.23,152.97,153.06,51267
153.08,153.23,153.07,153.21,34143
153.11,153.124,153.07,153.1,22416
153.05,153.135,153.0,153.11,26315
153.04,153.07,152.96,153.05,40533
153.073,153.14,153.04,153.051,21391
153.12,153.19,153.06,153.07,23761
153.11,153.15,153.07,153.12,26109
153.16,153.16,153.04,153.105,44464
153.23,153.23,153.14,153.17,32286
153.21,153.23,153.085,153.22,30187
153.23,153.29,153.2,153.21,39061
153.29,153.3,153.19,153.22,22888
153.314,153.32,153.24,153.3,20715
153.32,153.34,153.3,153.31,25588
153.35,153.44,153.31,153.34,32065
153.37,153.37,153.31,153.35,24093
153.318,153.38,153.25,153.38,41233
153.36,153.36,153.31,153.31,23456
153.415,153.48,153.35,153.35,18877
153.38,153.42,153.29,153.42,21726
153.37,153.4,153.34,153.37,17476
153.295,153.38,153.295,153.37,22652
153.18,153.311,153.17,153.295,34556
153.17,153.23,153.16,153.18,25520
153.21,153.22,153.16,153.174,15196
153.219,153.26,153.19,153.21,11425
153.09,153.215,153.09,153.215,26465
153.165,153.165,153.01,153.08,24844
153.18,153.22,153.1,153.175,78515
153.21,153.21,153.145,153.173,76587
153.28,153.29,153.19,153.215,21404
153.285,153.31,153.26,153.275,21045
153.195,153.29,153.19,153.29,19956
153.14,153.21,153.14,153.195,20157
153.14,153.17,153.1,153.15,17194
153.05,153.14,153.04,153.14,26818
153.01,153.06,152.97,153.05,12498
153.08,153.103,153.015,153.04,10659
153.1,153.13,153.02,153.1,15975
153.03,153.105,153.02,153.099,14469
153.04,153.07,153.012,153.03,10184
153.0,153.065,152.97,153.04,13578
153.0,153.015,152.96,153.0,10382
153.08,153.095,153.02,153.025,18420
153.083,153.09,153.005,153.075,23015
153.1,153.105,153.01,153.085,33288
152.85,153.15,152.81,153.11,25972
152.98,152.98,152.8,152.85,21931
153.0,153.03,152.95,153.0,27809
152.831,153.028,152.831,153.01,18849
152.74,152.865,152.72,152.85,47339
152.64,152.79,152.63,152.75,20336
152.62,152.65,152.49,152.64,33395
152.625,152.691,152.55,152.65,20258
152.65,152.665,152.595,152.62,30667
